t,x,y,yaw,odom_vx,odom_wz,cmd_vx,cmd_wz,scan_ahead,us_left,us_right
12.967,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
12.967,-0.0,-0.0,-0.0,-0.0,0.0,0.125,0.0263,inf,1.5,1.5
13.0,-0.0,-0.0,-0.0,-0.0,0.0,0.25,0.0263,inf,1.5,1.5
13.017,-0.0,-0.0,-0.0,-0.0001,-0.0002,0.375,0.0263,inf,1.5,1.5
13.017,-0.0,-0.0,-0.0,-0.0001,-0.0002,0.375,0.0263,inf,1.5,1.5
13.033,-0.0,-0.0,-0.0,-0.0001,-0.0002,0.5,0.0263,inf,1.5,1.5
13.033,-0.0,-0.0,-0.0,-0.0001,-0.0002,0.5,0.0263,inf,1.5,1.5
13.067,-0.0,-0.0,-0.0,-0.0005,-0.001,0.5,0.0263,inf,1.5,1.5
13.067,-0.0,-0.0,-0.0,-0.0005,-0.001,0.5,0.0263,inf,1.5,1.5
13.083,-0.0,-0.0,-0.0,-0.0006,-0.0011,0.5,0.0263,inf,1.5,1.5
13.083,-0.0,-0.0,-0.0,-0.0006,-0.0011,0.5,0.0263,inf,1.5,1.5
13.083,-0.0,-0.0,-0.0,-0.0006,-0.0011,0.5,0.0263,inf,1.5,1.5
13.117,-0.0,-0.0,-0.0001,-0.1779,-0.0011,0.5,0.0263,inf,1.5,1.5
13.117,-0.0,-0.0,-0.0001,-0.1779,-0.0011,0.5,0.0263,inf,1.5,1.5
13.133,-0.0,-0.0,-0.0001,-0.1781,-0.001,0.5,0.0263,inf,1.5,1.5
13.133,-0.0,-0.0,-0.0001,-0.1781,-0.001,0.5,0.0263,inf,1.5,1.5
13.167,0.0,-0.0,-0.0001,-0.2675,-0.0009,0.5,0.0263,inf,1.5,1.5
13.167,0.0,-0.0,-0.0001,-0.2675,-0.0009,0.5,0.0263,inf,1.5,1.5
13.183,0.0,-0.0,-0.0001,-0.3092,-0.0009,0.5,0.0263,inf,1.5,1.5
