t,x,y,yaw,odom_vx,odom_wz,cmd_vx,cmd_wz,scan_ahead,us_left,us_right
13.567,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.567,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.583,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.583,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.617,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.617,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.633,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.633,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.633,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.667,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.683,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.683,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.7,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.7,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.7,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.733,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.75,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.75,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.75,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.783,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.783,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.8,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.8,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.833,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.833,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.85,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.867,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.867,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.867,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.9,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.9,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.917,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.917,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.917,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.917,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.95,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.967,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.967,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
13.967,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.017,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.017,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.033,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.033,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.033,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.067,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.083,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.083,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.083,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.117,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.117,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.133,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.133,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.133,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.167,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.183,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.183,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.2,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.2,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,inf,1.5,1.5
14.233,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.16,inf,1.5,1.5
14.233,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.32,inf,1.5,1.5
14.25,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.4,inf,1.5,1.5
14.25,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.4,inf,1.5,1.5
14.25,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.4,inf,1.5,1.5
14.283,-0.0,0.0,-0.0,-0.0,-0.0001,0.0,0.4,inf,1.5,1.5
14.3,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.3,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.3,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.333,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.333,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.35,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.367,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.367,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.367,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.4,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.4,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.417,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.417,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.45,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.45,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.467,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.467,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.467,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.5,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.517,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.517,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.533,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.533,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.567,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.567,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.583,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.583,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.583,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.617,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
14.633,-0.0,0.0,-0.0,-0.0,-0.0002,0.0,0.4,inf,1.5,1.5
