t,x,y,yaw,odom_vx,odom_wz,cmd_vx,cmd_wz,scan_ahead,us_left,us_right
10.083,0.0022,-0.0,0.0,0.0001,-0.0001,0.0,0.0,2.6235,1.5,1.5
10.117,0.0022,-0.0,0.0,0.0001,-0.0001,0.0,0.0,2.6235,1.5,1.5
10.117,0.0022,-0.0,0.0,0.0001,-0.0001,0.125,-0.0263,2.6235,1.5,1.5
10.133,0.0022,-0.0,0.0,0.0001,-0.0001,0.2105,-0.0263,2.6478,1.5,1.5
10.133,0.0022,-0.0,0.0,0.0001,-0.0001,0.2105,-0.0263,2.6478,1.5,1.5
10.133,0.0022,-0.0,0.0,0.0001,-0.0001,0.2105,-0.0263,2.6478,1.5,1.5
10.167,0.0028,-0.0,0.0,0.0468,-0.0014,0.2105,-0.0263,2.6478,1.5,1.5
10.183,0.0043,-0.0,0.0,0.0936,0.0006,0.2105,-0.0263,2.6478,1.5,1.5
10.183,0.0043,-0.0,0.0,0.0936,0.0006,0.2105,-0.0263,2.6478,1.5,1.5
10.2,0.0065,-0.0001,0.0,0.1396,0.0159,0.2105,-0.0263,2.6478,1.5,1.5
10.2,0.0065,-0.0001,0.0,0.1396,0.0159,0.2105,-0.0263,2.6478,1.5,1.5
10.2,0.0065,-0.0001,0.0,0.1396,0.0159,0.2105,-0.0263,2.6055,1.5,1.5
10.233,0.0125,-0.0001,0.0,0.2008,0.0004,0.2105,-0.0263,2.6055,1.5,1.5
10.25,0.016,-0.0001,0.0,0.2086,0.007,0.3355,-0.0263,2.6055,1.5,1.5
10.25,0.016,-0.0001,0.0,0.2086,0.007,0.4605,-0.0263,2.6055,1.5,1.5
10.25,0.016,-0.0001,0.0,0.2086,0.007,0.5,-0.0263,2.6055,1.5,1.5
10.283,0.023,-0.0001,0.0,0.2105,0.0062,0.5,-0.0263,2.6055,1.5,1.5
10.283,0.023,-0.0001,0.0,0.2105,0.0062,0.5,-0.0263,2.6055,1.5,1.5
10.3,0.0272,-0.0001,0.0,0.2572,0.0094,0.5,-0.0263,2.6055,1.5,1.5
10.3,0.0272,-0.0001,0.0,0.2572,0.0094,0.5,-0.0263,2.6055,1.5,1.5
10.333,0.038,-0.0002,0.0017,0.3564,0.025,0.5,-0.0263,2.6215,1.5,1.5
10.333,0.038,-0.0002,0.0017,0.3564,0.025,0.5,-0.0263,2.6215,1.5,1.5
10.35,0.0446,-0.0003,0.0025,0.4029,0.018,0.5,-0.0263,2.6215,1.5,1.5
10.367,0.0519,-0.0004,0.0032,0.4507,0.0346,0.5,-0.0263,2.6215,1.5,1.5
10.367,0.0519,-0.0004,0.0032,0.4507,0.0346,0.5,-0.0263,2.6215,1.5,1.5
10.367,0.0519,-0.0004,0.0032,0.4507,0.0346,0.5,-0.0263,2.6215,1.5,1.5
10.4,0.0678,-0.0005,0.0043,0.4925,0.0372,0.5,-0.0263,2.6215,1.5,1.5
10.4,0.0678,-0.0005,0.0043,0.4925,0.0372,0.5,-0.0263,2.6215,1.5,1.5
10.417,0.0761,-0.0005,0.0048,0.498,0.0301,0.5,-0.0263,2.6215,1.5,1.5
10.417,0.0761,-0.0005,0.0048,0.498,0.0301,0.5,-0.0263,2.5906,1.5,1.5
10.417,0.0761,-0.0005,0.0048,0.498,0.0301,0.5,-0.0263,2.5906,1.5,1.5
10.45,0.0928,-0.0006,0.0054,0.4999,0.0259,0.5,-0.0263,2.5906,1.5,1.5
10.467,0.1011,-0.0006,0.0057,0.5006,0.02,0.5,-0.0263,2.5906,1.5,1.5
10.467,0.1011,-0.0006,0.0057,0.5006,0.02,0.5,-0.0263,2.5906,1.5,1.5
10.467,0.1011,-0.0006,0.0057,0.5006,0.02,0.5,-0.0263,2.5906,1.5,1.5
10.5,0.1178,-0.0005,0.0061,0.5008,0.0183,0.5,-0.0263,2.5906,1.5,1.5
10.5,0.1178,-0.0005,0.0061,0.5008,0.0183,0.5,-0.0263,2.5906,1.5,1.5
10.517,0.1261,-0.0005,0.0064,0.5009,0.017,0.5,-0.0263,2.5906,1.5,1.5
10.533,0.1345,-0.0005,0.0065,0.501,0.0158,0.5,-0.0263,2.5678,1.5,1.5
10.533,0.1345,-0.0005,0.0065,0.501,0.0158,0.5,-0.0263,2.5678,1.5,1.5
10.533,0.1345,-0.0005,0.0065,0.501,0.0158,0.5,0.0,2.5678,1.5,1.5
10.567,0.1512,-0.0004,0.0068,0.5008,0.0141,0.5,0.0,2.5678,1.5,1.5
10.567,0.1512,-0.0004,0.0068,0.5008,0.0141,0.5,0.0,2.5678,1.5,1.5
10.583,0.1595,-0.0004,0.0069,0.5006,0.0135,0.5,0.0,2.5678,1.5,1.5
10.583,0.1595,-0.0004,0.0069,0.5006,0.0135,0.5,0.0,2.5678,1.5,1.5
10.583,0.1595,-0.0004,0.0069,0.5006,0.0135,0.5,0.0,2.5678,1.5,1.5
10.617,0.1762,-0.0003,0.0071,0.5008,0.0101,0.5,0.0,2.5678,1.5,1.5
10.633,0.1846,-0.0003,0.0073,0.5007,0.0114,0.5,0.0,2.5796,1.5,1.5
10.633,0.1846,-0.0003,0.0073,0.5007,0.0114,0.5,0.0,2.5796,1.5,1.5
10.633,0.1846,-0.0003,0.0073,0.5007,0.0114,0.4737,0.0,2.5796,1.5,1.5
10.667,0.2013,-0.0002,0.0075,0.5007,0.0105,0.4737,0.0,2.5796,1.5,1.5
10.667,0.2013,-0.0002,0.0075,0.5007,0.0105,0.4737,0.0,2.5796,1.5,1.5
10.683,0.2096,-0.0001,0.0076,0.5006,0.0096,0.5,0.0,2.5796,1.5,1.5
10.7,0.2179,-0.0001,0.0077,0.5005,0.0088,0.5,0.0,2.5796,1.5,1.5
10.7,0.2179,-0.0001,0.0077,0.5005,0.0088,0.5,0.0,2.5796,1.5,1.5
10.7,0.2179,-0.0001,0.0077,0.5005,0.0088,0.5,0.0,2.5796,1.5,1.5
10.733,0.234,0.0,0.0079,0.4752,0.0073,0.5,0.0,2.5945,1.5,1.5
10.733,0.234,0.0,0.0079,0.4752,0.0073,0.5,0.0,2.5945,1.5,1.5
10.75,0.2419,0.0001,0.0079,0.4742,0.0074,0.5,0.0,2.5945,1.5,1.5
10.75,0.2419,0.0001,0.0079,0.4742,0.0074,0.5,0.0,2.5945,1.5,1.5
10.783,0.2583,0.0002,0.0081,0.4991,0.0067,0.5,0.0,2.5945,1.5,1.5
10.783,0.2583,0.0002,0.0081,0.4991,0.0067,0.5,0.0,2.5945,1.5,1.5
10.8,0.2667,0.0002,0.0081,0.4998,0.0071,0.5,0.0,2.5945,1.5,1.5
10.8,0.2667,0.0002,0.0081,0.4998,0.0071,0.5,0.0,2.5945,1.5,1.5
10.8,0.2667,0.0002,0.0081,0.4998,0.0071,0.5,0.0,2.5175,1.5,1.5
10.833,0.2833,0.0003,0.0083,0.5,0.0059,0.5,0.0,2.5175,1.5,1.5
10.85,0.2916,0.0004,0.0083,0.4999,0.0055,0.4737,0.0,2.5175,1.5,1.5
10.85,0.2916,0.0004,0.0083,0.4999,0.0055,0.4737,0.0,2.5175,1.5,1.5
10.867,0.3,0.0005,0.0083,0.4999,0.0042,0.4737,0.0,2.5175,1.5,1.5
10.867,0.3,0.0005,0.0083,0.4999,0.0042,0.4737,0.0,2.5175,1.5,1.5
10.867,0.3,0.0005,0.0083,0.4999,0.0042,0.4737,0.0,2.5175,1.5,1.5
10.9,0.3166,0.0006,0.0085,0.4997,0.0042,0.4737,0.0,2.5175,1.5,1.5
10.917,0.325,0.0007,0.0085,0.4996,0.0038,0.5,0.0,2.5175,1.5,1.5
10.917,0.325,0.0007,0.0085,0.4996,0.0038,0.5,0.0,2.565,1.5,1.5
10.917,0.325,0.0007,0.0085,0.4996,0.0038,0.5,0.0,2.565,1.5,1.5
10.95,0.341,0.0008,0.0085,0.4744,0.0027,0.5,0.0,2.565,1.5,1.5
10.95,0.341,0.0008,0.0085,0.4744,0.0027,0.5,0.0,2.565,1.5,1.5
10.967,0.3489,0.0008,0.0085,0.4735,0.003,0.5,0.0,2.565,1.5,1.5
10.967,0.3489,0.0008,0.0085,0.4735,0.003,0.5,0.0,2.565,1.5,1.5
10.967,0.3489,0.0008,0.0085,0.4735,0.003,0.5,0.0,2.565,1.5,1.5
11.0,0.3649,0.001,0.0086,0.493,0.0042,0.5,0.0,2.565,1.5,1.5
11.017,0.3732,0.001,0.0086,0.4982,0.0017,0.5,0.0,2.565,1.5,1.5
11.033,0.3815,0.0011,0.0086,0.4993,0.002,0.5,0.0,2.5412,1.5,1.5
11.033,0.3815,0.0011,0.0086,0.4993,0.002,0.5,0.0,2.5412,1.5,1.5
11.033,0.3815,0.0011,0.0086,0.4993,0.002,0.4737,0.0,2.5412,1.5,1.5
11.067,0.3982,0.0013,0.0087,0.4997,0.0015,0.5,0.0,2.5412,1.5,1.5
11.067,0.3982,0.0013,0.0087,0.4997,0.0015,0.5,0.0,2.5412,1.5,1.5
11.083,0.4065,0.0013,0.0088,0.4997,0.0019,0.5,0.0,2.5412,1.5,1.5
11.083,0.4065,0.0013,0.0088,0.4997,0.0019,0.5,0.0,2.5412,1.5,1.5
11.083,0.4065,0.0013,0.0088,0.4997,0.0019,0.5,0.0,2.5412,1.5,1.5
11.117,0.4232,0.0015,0.0088,0.4999,0.0016,0.5,0.0,2.5412,1.5,1.5
11.133,0.4313,0.0015,0.0088,0.4791,0.0021,0.5,0.0,2.5614,1.5,1.5
11.133,0.4313,0.0015,0.0088,0.4791,0.0021,0.5,0.0,2.5614,1.5,1.5
11.133,0.4313,0.0015,0.0088,0.4791,0.0021,0.5,0.0,2.5614,1.5,1.5
11.167,0.4477,0.0017,0.0089,0.4992,0.0017,0.5,0.0,2.5614,1.5,1.5
11.167,0.4477,0.0017,0.0089,0.4992,0.0017,0.5,0.0,2.5614,1.5,1.5
11.183,0.4561,0.0017,0.009,0.5,0.002,0.5,0.0,2.5614,1.5,1.5
11.2,0.4644,0.0018,0.009,0.5002,0.0018,0.5,0.0,2.5614,1.5,1.5
11.2,0.4644,0.0018,0.009,0.5002,0.0018,0.5,0.0,2.5614,1.5,1.5
11.2,0.4644,0.0018,0.009,0.5002,0.0018,0.5,0.0,2.5614,1.5,1.5
11.233,0.4811,0.0019,0.0091,0.5004,0.0021,0.5,0.0,2.5854,1.5,1.5
11.233,0.4811,0.0019,0.0091,0.5004,0.0021,0.5,0.0,2.5854,1.5,1.5
11.25,0.4894,0.002,0.0091,0.5004,0.0023,0.5,0.0,2.5854,1.5,1.5
11.25,0.4894,0.002,0.0091,0.5004,0.0023,0.5,0.0,2.5854,1.5,1.5
11.25,0.4894,0.002,0.0091,0.5004,0.0023,0.5,0.0,2.5854,1.5,1.5
11.283,0.5061,0.0021,0.0092,0.5005,0.0026,0.5,0.0,2.5854,1.5,1.5
11.3,0.5145,0.0022,0.0092,0.5006,0.0029,0.5,0.0,2.5854,1.5,1.5
11.3,0.5145,0.0022,0.0092,0.5006,0.0029,0.5,0.0,2.5854,1.5,1.5
11.3,0.5145,0.0022,0.0092,0.5006,0.0029,0.5,0.0,2.5854,1.5,1.5
11.333,0.5312,0.0023,0.0093,0.5006,0.0032,0.5,0.0,2.5397,1.5,1.5
11.333,0.5312,0.0023,0.0093,0.5006,0.0032,0.5,0.0,2.5397,1.5,1.5
11.35,0.5395,0.0024,0.0094,0.5007,0.0029,0.4737,0.0,2.5397,1.5,1.5
11.367,0.5479,0.0025,0.0094,0.5008,0.0037,0.4737,0.0,2.5397,1.5,1.5
11.367,0.5479,0.0025,0.0094,0.5008,0.0037,0.4737,0.0,2.5397,1.5,1.5
11.367,0.5479,0.0025,0.0094,0.5008,0.0037,0.4737,0.0,2.5397,1.5,1.5
11.4,0.5646,0.0026,0.0095,0.5009,0.0026,0.4737,0.0,2.5397,1.5,1.5
11.417,0.5729,0.0027,0.0096,0.5008,0.004,0.5,0.0,2.5397,1.5,1.5
11.417,0.5729,0.0027,0.0096,0.5008,0.004,0.5,0.0,2.5287,1.5,1.5
11.417,0.5729,0.0027,0.0096,0.5008,0.004,0.5,0.0,2.5287,1.5,1.5
11.45,0.5896,0.0028,0.0097,0.5007,0.0034,0.5,0.0,2.5287,1.5,1.5
11.45,0.5896,0.0028,0.0097,0.5007,0.0034,0.5,0.0,2.5287,1.5,1.5
11.467,0.5977,0.0029,0.0097,0.4799,0.0039,0.5,0.0,2.5287,1.5,1.5
11.467,0.5977,0.0029,0.0097,0.4799,0.0039,0.5,0.0,2.5287,1.5,1.5
11.5,0.6136,0.0031,0.0098,0.4745,0.0029,0.5,0.0,2.5287,1.5,1.5
11.5,0.6136,0.0031,0.0098,0.4745,0.0029,0.5,0.0,2.5287,1.5,1.5
11.517,0.6217,0.0031,0.0098,0.4943,0.0018,0.5,0.0,2.5287,1.5,1.5
11.517,0.6217,0.0031,0.0098,0.4943,0.0018,0.5,0.0,2.5532,1.5,1.5
11.533,0.63,0.0032,0.0098,0.4992,0.0028,0.5,0.0,2.5532,1.5,1.5
11.533,0.63,0.0032,0.0098,0.4992,0.0028,0.4737,0.0,2.5532,1.5,1.5
11.533,0.63,0.0032,0.0098,0.4992,0.0028,0.4737,0.0,2.5532,1.5,1.5
11.533,0.63,0.0032,0.0098,0.4992,0.0028,0.4737,0.0,2.5532,1.5,1.5
11.567,0.6467,0.0034,0.0098,0.5003,0.0023,0.4737,0.0,2.5532,1.5,1.5
11.583,0.655,0.0034,0.0098,0.5003,0.0022,0.4737,0.0,2.5532,1.5,1.5
11.583,0.655,0.0034,0.0098,0.5003,0.0022,0.4737,0.0,2.5532,1.5,1.5
11.583,0.655,0.0034,0.0098,0.5003,0.0022,0.5,0.0,2.5532,1.5,1.5
11.617,0.6717,0.0036,0.0098,0.5001,0.0017,0.5,0.0,2.5532,1.5,1.5
11.617,0.6717,0.0036,0.0098,0.5001,0.0017,0.5,0.0,2.5869,1.5,1.5
11.633,0.68,0.0037,0.0099,0.5,0.0015,0.5,0.0,2.5869,1.5,1.5
11.633,0.68,0.0037,0.0099,0.5,0.0015,0.4737,0.0,2.5869,1.5,1.5
11.633,0.68,0.0037,0.0099,0.5,0.0015,0.4737,0.0,2.5869,1.5,1.5
11.667,0.6965,0.0038,0.0098,0.4791,0.0016,0.4737,0.0,2.5869,1.5,1.5
11.683,0.7044,0.0039,0.0098,0.4747,0.0002,0.4737,0.0,2.5869,1.5,1.5
11.683,0.7044,0.0039,0.0098,0.4747,0.0002,0.4737,0.0,2.5869,1.5,1.5
11.7,0.7123,0.004,0.0098,0.4738,0.0007,0.5,0.0,2.5869,1.5,1.5
11.7,0.7123,0.004,0.0098,0.4738,0.0007,0.5,0.0,2.5869,1.5,1.5
11.7,0.7123,0.004,0.0098,0.4738,0.0007,0.5,0.0,2.5359,1.5,1.5
11.733,0.7287,0.0042,0.0098,0.4986,-0.0007,0.5,-0.0263,2.5359,1.5,1.5
11.75,0.737,0.0042,0.0098,0.4994,-0.0005,0.5,-0.0263,2.5359,1.5,1.5
11.75,0.737,0.0042,0.0098,0.4994,-0.0005,0.5,-0.0263,2.5359,1.5,1.5
11.75,0.737,0.0042,0.0098,0.4994,-0.0005,0.5,-0.0263,2.5359,1.5,1.5
11.783,0.7531,0.0044,0.0098,0.4744,-0.0009,0.5,-0.0263,2.5359,1.5,1.5
11.783,0.7531,0.0044,0.0098,0.4744,-0.0009,0.5,-0.0263,2.5359,1.5,1.5
11.8,0.761,0.0045,0.0098,0.4734,-0.0009,0.5,-0.0263,2.5359,1.5,1.5
11.8,0.761,0.0045,0.0098,0.4734,-0.0009,0.5,-0.0263,2.5359,1.5,1.5
11.8,0.761,0.0045,0.0098,0.4734,-0.0009,0.5,-0.0263,2.5392,1.5,1.5
11.833,0.7769,0.0047,0.0098,0.4939,-0.0026,0.5,-0.0263,2.5392,1.5,1.5
11.85,0.7852,0.0047,0.0098,0.4984,-0.0005,0.5,-0.0263,2.5392,1.5,1.5
11.85,0.7852,0.0047,0.0098,0.4984,-0.0005,0.5,-0.0263,2.5392,1.5,1.5
11.867,0.7935,0.0048,0.0097,0.4994,0.0046,0.4737,-0.0263,2.5392,1.5,1.5
11.867,0.7935,0.0048,0.0097,0.4994,0.0046,0.4737,-0.0263,2.5392,1.5,1.5
