t,x,y,yaw,odom_vx,odom_wz,cmd_vx,cmd_wz,scan_ahead,us_left,us_right
11.533,0.0025,-0.0,0.0,0.0001,-0.0003,0.0,0.0,2.6252,1.5,1.5
11.533,0.0025,-0.0,0.0,0.0001,-0.0003,0.0,0.0,2.6252,1.5,1.5
11.567,0.0025,0.0,0.0,0.0001,0.0003,0.125,-0.0263,2.6252,1.5,1.5
11.567,0.0025,0.0,0.0,0.0001,0.0003,0.2368,-0.0263,2.6252,1.5,1.5
11.583,0.0025,0.0,0.0,0.0001,0.0003,0.2368,-0.0263,2.6252,1.5,1.5
11.583,0.0025,0.0,0.0,0.0001,0.0003,0.2368,-0.0263,2.6252,1.5,1.5
11.583,0.0025,0.0,0.0,0.0001,0.0003,0.2368,-0.0263,2.6252,1.5,1.5
11.617,0.0025,-0.0,0.0,0.0001,-0.0004,0.2368,-0.0263,2.6252,1.5,1.5
11.633,0.0047,-0.0,0.0,0.0928,-0.0224,0.2368,-0.0263,2.6479,1.5,1.5
11.633,0.0047,-0.0,0.0,0.0928,-0.0224,0.2368,-0.0263,2.6479,1.5,1.5
11.633,0.0047,-0.0,0.0,0.0928,-0.0224,0.2368,-0.0263,2.6479,1.5,1.5
11.667,0.0069,0.0001,-0.0,0.1382,-0.0079,0.2368,-0.0263,2.6479,1.5,1.5
11.667,0.0069,0.0001,-0.0,0.1382,-0.0079,0.2368,-0.0263,2.6479,1.5,1.5
11.683,0.0133,0.0001,-0.0007,0.2232,0.002,0.2368,-0.0263,2.6479,1.5,1.5
11.683,0.0133,0.0001,-0.0007,0.2232,0.002,0.2368,-0.0263,2.6479,1.5,1.5
11.7,0.0171,0.0001,-0.0,0.234,-0.0018,0.2368,-0.0263,2.6479,1.5,1.5
11.7,0.0171,0.0001,-0.0,0.234,-0.0018,0.2368,-0.0263,2.6479,1.5,1.5
11.7,0.0171,0.0001,-0.0,0.234,-0.0018,0.2368,-0.0263,2.6155,1.5,1.5
11.733,0.0211,0.0001,0.0,0.2362,-0.001,0.2368,-0.0263,2.6155,1.5,1.5
11.75,0.029,0.0002,-0.001,0.2369,-0.0023,0.2368,-0.0263,2.6155,1.5,1.5
11.75,0.029,0.0002,-0.001,0.2369,-0.0023,0.2368,-0.0263,2.6155,1.5,1.5
