t,x,y,yaw,odom_vx,odom_wz,cmd_vx,cmd_wz,scan_ahead,us_left,us_right
14.167,0.0031,-0.0,0.0,0.0001,-0.0001,0.0,0.0,2.6623,1.5,1.5
14.183,0.0031,-0.0,0.0,0.0001,-0.0002,0.0,0.0,2.6623,1.5,1.5
14.2,0.0031,-0.0,0.0,0.0001,-0.0,0.0375,0.0046,2.6623,1.5,1.5
14.2,0.0031,-0.0,0.0,0.0001,-0.0,0.058,-0.0084,2.6623,1.5,1.5
14.2,0.0031,-0.0,0.0,0.0001,-0.0,0.0737,-0.0009,2.6623,1.5,1.5
14.233,0.0031,-0.0,0.0,0.0001,-0.0001,0.0753,0.0065,2.6081,1.5,1.5
14.233,0.0031,-0.0,0.0,0.0001,-0.0001,0.0831,0.0042,2.6081,1.5,1.5
14.25,0.0039,-0.0,0.0,0.036,0.0003,0.0853,-0.0003,2.6081,1.5,1.5
14.25,0.0039,-0.0,0.0,0.036,0.0003,0.1025,0.0009,2.6081,1.5,1.5
14.25,0.0039,-0.0,0.0,0.036,0.0003,0.1052,-0.0048,2.6081,1.5,1.5
14.283,0.0047,0.0,0.0,0.0535,0.0012,0.1147,-0.0055,2.6081,1.5,1.5
14.3,0.0071,0.0,0.0,0.0806,0.0012,0.122,-0.0044,2.6081,1.5,1.5
14.3,0.0071,0.0,0.0,0.0806,0.0012,0.1256,-0.0033,2.6081,1.5,1.5
14.3,0.0071,0.0,0.0,0.0806,0.0012,0.133,0.0013,2.6081,1.5,1.5
14.333,0.0086,-0.0,0.0,0.098,-0.0019,0.1408,0.0021,2.6203,1.5,1.5
14.333,0.0086,-0.0,0.0,0.098,-0.0019,0.144,0.0027,2.6203,1.5,1.5
14.333,0.0086,-0.0,0.0,0.098,-0.0019,0.1578,-0.0018,2.6203,1.5,1.5
14.35,0.0121,0.0,-0.0,0.1125,-0.001,0.1621,-0.0024,2.6203,1.5,1.5
14.367,0.0141,0.0,0.0,0.1229,0.0006,0.1674,-0.0035,2.6203,1.5,1.5
14.367,0.0141,0.0,0.0,0.1229,0.0006,0.1708,-0.0034,2.6203,1.5,1.5
14.367,0.0141,0.0,0.0,0.1229,0.0006,0.1792,-0.0029,2.6203,1.5,1.5
14.4,0.0162,0.0,0.0,0.131,-0.0015,0.1823,0.0003,2.6203,1.5,1.5
14.4,0.0162,0.0,0.0,0.131,-0.0015,0.1844,-0.0031,2.6203,1.5,1.5
14.417,0.021,0.0,0.0,0.1544,-0.0001,0.1892,-0.0045,2.6203,1.5,1.5
