t,x,y,yaw,odom_vx,odom_wz,cmd_vx,cmd_wz,scan_ahead,us_left,us_right
10.533,0.0023,-0.0,0.0,0.0001,0.0003,0.0,0.0,3.1275,1.5,1.5
10.533,0.0023,-0.0,0.0,0.0001,0.0003,0.0,0.0,3.1275,1.5,1.5
10.533,0.0023,-0.0,0.0,0.0001,0.0003,0.125,-0.0263,3.1275,1.5,1.5
10.567,0.0023,-0.0,0.0,0.0001,0.0002,0.2105,-0.0263,3.1275,1.5,1.5
10.583,0.0023,-0.0,0.0,0.0001,-0.0002,0.2105,-0.0263,3.1275,1.5,1.5
10.583,0.0023,-0.0,0.0,0.0001,-0.0002,0.2105,-0.0263,3.1275,1.5,1.5
10.583,0.0023,-0.0,0.0,0.0001,-0.0002,0.2105,-0.0263,3.1275,1.5,1.5
10.617,0.0044,-0.0,0.0,0.0932,-0.0244,0.2105,-0.0263,3.1275,1.5,1.5
10.633,0.0066,0.0,-0.0,0.1384,-0.0271,0.2105,-0.0263,3.1494,1.5,1.5
10.633,0.0066,0.0,-0.0,0.1384,-0.0271,0.2105,-0.0263,3.1494,1.5,1.5
10.633,0.0066,0.0,-0.0,0.1384,-0.0271,0.1579,-0.0263,3.1494,1.5,1.5
10.667,0.0127,0.0001,-0.0,0.2044,0.0024,0.1579,-0.0263,3.1494,1.5,1.5
10.667,0.0127,0.0001,-0.0,0.2044,0.0024,0.1579,-0.0263,3.1494,1.5,1.5
10.683,0.0157,0.0001,-0.0007,0.1676,-0.0015,0.2105,-0.0263,3.1494,1.5,1.5
10.7,0.0185,0.0001,-0.001,0.16,0.0,0.2105,-0.0263,3.1494,1.5,1.5
10.7,0.0185,0.0001,-0.001,0.16,0.0,0.2105,-0.0263,3.1494,1.5,1.5
10.7,0.0185,0.0001,-0.001,0.16,0.0,0.2105,-0.0263,3.1494,1.5,1.5
10.733,0.0249,0.0002,-0.001,0.2069,-0.0061,0.2105,-0.0263,3.1846,1.5,1.5
10.733,0.0249,0.0002,-0.001,0.2069,-0.0061,0.2105,-0.0263,3.1846,1.5,1.5
10.75,0.0283,0.0002,-0.0007,0.2098,0.0001,0.2105,-0.0263,3.1846,1.5,1.5
10.75,0.0283,0.0002,-0.0007,0.2098,0.0001,0.2368,-0.0263,3.1846,1.5,1.5
10.75,0.0283,0.0002,-0.0007,0.2098,0.0001,0.2368,-0.0263,3.1846,1.5,1.5
10.783,0.0354,0.0002,-0.0012,0.2105,-0.0024,0.2368,-0.0263,3.1846,1.5,1.5
10.8,0.0391,0.0002,-0.0014,0.2313,-0.0072,0.2368,-0.0263,3.1846,1.5,1.5
10.8,0.0391,0.0002,-0.0014,0.2313,-0.0072,0.2368,-0.0263,3.1846,1.5,1.5
10.8,0.0391,0.0002,-0.0014,0.2313,-0.0072,0.2368,-0.0263,3.1846,1.5,1.5
10.833,0.0469,0.0003,-0.0017,0.2367,-0.0063,0.2368,-0.0263,3.099,1.5,1.5
10.833,0.0469,0.0003,-0.0017,0.2367,-0.0063,0.2368,-0.0263,3.099,1.5,1.5
