t,x,y,yaw,odom_vx,odom_wz,cmd_vx,cmd_wz,scan_ahead,us_left,us_right
11.167,0.0024,-0.0,0.0,0.0001,-0.0,0.0,0.0,3.1474,1.5,1.5
11.167,0.0024,-0.0,0.0,0.0001,-0.0,0.0,0.0,3.1474,1.5,1.5
11.183,0.0024,-0.0,0.0,0.0001,-0.0002,0.0375,0.0046,3.1474,1.5,1.5
11.2,0.0024,-0.0,0.0,0.0001,0.0,0.058,-0.0084,3.1474,1.5,1.5
11.2,0.0024,-0.0,0.0,0.0001,0.0,0.0737,-0.0009,3.1474,1.5,1.5
11.2,0.0024,-0.0,0.0,0.0001,0.0,0.0753,0.0065,3.1474,1.5,1.5
11.233,0.0037,0.0,-0.0,0.0547,-0.0041,0.0831,0.0042,3.1787,1.5,1.5
11.233,0.0037,0.0,-0.0,0.0547,-0.0041,0.0853,-0.0003,3.1787,1.5,1.5
11.25,0.0048,0.0,-0.0,0.0698,0.0029,0.1092,-0.0013,3.1787,1.5,1.5
11.25,0.0048,0.0,-0.0,0.0698,0.0029,0.1157,-0.0079,3.1787,1.5,1.5
11.25,0.0048,0.0,-0.0,0.0698,0.0029,0.1326,-0.0054,3.1787,1.5,1.5
11.283,0.0074,0.0,-0.0,0.0844,0.0032,0.1379,-0.0033,3.1787,1.5,1.5
11.3,0.0091,0.0,-0.0,0.109,-0.0113,0.1408,-0.0015,3.1787,1.5,1.5
11.3,0.0091,0.0,-0.0,0.109,-0.0113,0.1428,0.0032,3.1787,1.5,1.5
11.3,0.0091,0.0,-0.0,0.109,-0.0113,0.1559,-0.0033,3.1787,1.5,1.5
11.333,0.0133,0.0,-0.0,0.1357,0.0015,0.162,-0.0062,3.1279,1.5,1.5
11.333,0.0133,0.0,-0.0,0.1357,0.0015,0.1728,-0.0107,3.1279,1.5,1.5
11.35,0.0156,0.0,-0.0,0.1413,-0.0002,0.1842,-0.0041,3.1279,1.5,1.5
11.35,0.0156,0.0,-0.0,0.1413,-0.0002,0.1931,-0.0017,3.1279,1.5,1.5
11.367,0.0181,0.0,0.0,0.1528,-0.001,0.1967,-0.0012,3.1279,1.5,1.5
11.367,0.0181,0.0,0.0,0.1528,-0.001,0.2051,-0.0008,3.1279,1.5,1.5
11.4,0.0237,0.0,0.0,0.1806,-0.0023,0.2079,0.0018,3.1279,1.5,1.5
11.4,0.0237,0.0,0.0,0.1806,-0.0023,0.2098,-0.0018,3.1279,1.5,1.5
11.417,0.0269,0.0,0.0,0.1906,0.0004,0.2218,-0.0037,3.1279,1.5,1.5
11.417,0.0269,0.0,0.0,0.1906,0.0004,0.2287,-0.006,3.1184,1.5,1.5
11.417,0.0269,0.0,0.0,0.1906,0.0004,0.2381,-0.0043,3.1184,1.5,1.5
11.45,0.0336,0.0,0.0,0.2067,-0.0008,0.2454,-0.0043,3.1184,1.5,1.5
11.45,0.0336,0.0,0.0,0.2067,-0.0008,0.2423,-0.0029,3.1184,1.5,1.5
11.467,0.0371,0.0,0.0,0.2186,-0.0002,0.2497,-0.0032,3.1184,1.5,1.5
11.467,0.0371,0.0,0.0,0.2186,-0.0002,0.2564,-0.0037,3.1184,1.5,1.5
11.467,0.0371,0.0,0.0,0.2186,-0.0002,0.2607,0.0017,3.1184,1.5,1.5
11.5,0.0447,0.0,0.0,0.2357,-0.0006,0.2644,0.003,3.1184,1.5,1.5
11.517,0.0487,0.0,0.0,0.241,-0.0004,0.2722,-0.0006,3.1184,1.5,1.5
11.517,0.0487,0.0,0.0,0.241,-0.0004,0.2775,0.0021,3.1501,1.5,1.5
11.533,0.0528,0.0,0.0,0.2479,-0.0007,0.285,0.0022,3.1501,1.5,1.5
11.533,0.0528,0.0,0.0,0.2479,-0.0007,0.2888,-0.0012,3.1501,1.5,1.5
11.533,0.0528,0.0,0.0,0.2479,-0.0007,0.2934,-0.0016,3.1501,1.5,1.5
11.567,0.0614,0.0,0.0,0.2631,-0.0013,0.2962,0.0001,3.1501,1.5,1.5
11.583,0.0659,0.0,0.0,0.2704,-0.0006,0.3049,0.0001,3.1501,1.5,1.5
11.583,0.0659,0.0,0.0,0.2704,-0.0006,0.3064,-0.0065,3.1501,1.5,1.5
11.583,0.0659,0.0,0.0,0.2704,-0.0006,0.3136,-0.0011,3.1501,1.5,1.5
11.617,0.0753,0.0,0.0,0.2875,0.0,0.317,-0.0016,3.1501,1.5,1.5
11.617,0.0753,0.0,0.0,0.2875,0.0,0.3215,-0.0021,3.1782,1.5,1.5
11.633,0.0801,0.0,0.0,0.2945,-0.0014,0.3274,0.0008,3.1782,1.5,1.5
11.633,0.0801,0.0,0.0,0.2945,-0.0014,0.332,-0.001,3.1782,1.5,1.5
11.633,0.0801,0.0,0.0,0.2945,-0.0014,0.3363,-0.0004,3.1782,1.5,1.5
11.667,0.0902,0.0,0.0,0.3058,0.0009,0.3372,-0.001,3.1782,1.5,1.5
11.683,0.0954,0.0,0.0,0.3148,-0.0017,0.3415,-0.0023,3.1782,1.5,1.5
11.683,0.0954,0.0,0.0,0.3148,-0.0017,0.3435,0.0014,3.1782,1.5,1.5
11.7,0.1007,0.0,0.0,0.3203,-0.0002,0.3485,0.0,3.1782,1.5,1.5
11.7,0.1007,0.0,0.0,0.3203,-0.0002,0.352,-0.0015,3.1782,1.5,1.5
11.7,0.1007,0.0,0.0,0.3203,-0.0002,0.3552,-0.0024,3.1333,1.5,1.5
11.733,0.1117,0.0,0.0,0.3352,-0.0009,0.3589,0.0012,3.1333,1.5,1.5
11.75,0.1173,0.0,0.0,0.3371,-0.0006,0.3647,0.0011,3.1333,1.5,1.5
11.75,0.1173,0.0,0.0,0.3371,-0.0006,0.3647,-0.0014,3.1333,1.5,1.5
11.75,0.1173,0.0,0.0,0.3371,-0.0006,0.3666,0.0004,3.1333,1.5,1.5
11.783,0.1287,0.0,-0.0,0.3475,-0.0004,0.3676,-0.0019,3.1333,1.5,1.5
11.783,0.1287,0.0,-0.0,0.3475,-0.0004,0.3695,0.0001,3.1333,1.5,1.5
11.8,0.1346,0.0,0.0,0.3539,-0.0003,0.3731,0.0032,3.1333,1.5,1.5
11.8,0.1346,0.0,0.0,0.3539,-0.0003,0.3829,0.0007,3.1333,1.5,1.5
11.8,0.1346,0.0,0.0,0.3539,-0.0003,0.3881,0.0027,3.1386,1.5,1.5
11.833,0.1466,0.0,-0.0,0.3637,-0.0005,0.3904,-0.0013,3.1386,1.5,1.5
11.85,0.1527,0.0,0.0,0.3664,-0.0012,0.3963,-0.0011,3.1386,1.5,1.5
11.85,0.1527,0.0,0.0,0.3664,-0.0012,0.4011,-0.0006,3.1386,1.5,1.5
11.867,0.1588,0.0,0.0,0.3678,-0.0009,0.4014,-0.0041,3.1386,1.5,1.5
11.867,0.1588,0.0,0.0,0.3678,-0.0009,0.402,-0.0015,3.1386,1.5,1.5
11.867,0.1588,0.0,0.0,0.3678,-0.0009,0.4009,0.0029,3.1386,1.5,1.5
11.9,0.1713,0.0,0.0,0.3811,0.0009,0.3963,0.0038,3.1386,1.5,1.5
11.917,0.1777,0.0,0.0,0.387,-0.0004,0.4014,-0.0015,3.1386,1.5,1.5
11.917,0.1777,0.0,0.0,0.387,-0.0004,0.4027,0.002,3.1386,1.5,1.5
11.917,0.1777,0.0,0.0,0.387,-0.0004,0.4072,-0.0012,3.1223,1.5,1.5
11.95,0.1908,0.0,0.0,0.4002,-0.0,0.4114,-0.0005,3.1223,1.5,1.5
11.95,0.1908,0.0,0.0,0.4002,-0.0,0.4114,0.0007,3.1223,1.5,1.5
11.967,0.1975,0.0,0.0,0.402,0.0008,0.4173,0.0007,3.1223,1.5,1.5
11.967,0.1975,0.0,0.0,0.402,0.0008,0.4203,0.0008,3.1223,1.5,1.5
11.967,0.1975,0.0,0.0,0.402,0.0008,0.4229,0.0009,3.1223,1.5,1.5
12.0,0.2109,0.0,0.0,0.3977,0.0003,0.4253,-0.0011,3.1223,1.5,1.5
12.0,0.2109,0.0,0.0,0.3977,0.0003,0.426,-0.0024,3.1223,1.5,1.5
12.017,0.2176,0.0,0.0,0.4019,0.0001,0.4296,0.0014,3.1223,1.5,1.5
12.033,0.2243,0.0,0.0,0.4064,0.0009,0.428,0.0028,3.1207,1.5,1.5
12.033,0.2243,0.0,0.0,0.4064,0.0009,0.4331,0.0027,3.1207,1.5,1.5
