t,x,y,yaw,odom_vx,odom_wz,cmd_vx,cmd_wz,scan_ahead,us_left,us_right
12.8,0.0028,-0.0,0.0,0.0001,-0.0004,0.0,0.0,2.6348,1.5,1.5
12.8,0.0028,-0.0,0.0,0.0001,-0.0004,0.0,0.0,2.6047,1.5,1.5
12.833,0.0028,-0.0,0.0,0.0001,-0.0004,0.0375,0.0046,2.6047,1.5,1.5
12.85,0.0028,-0.0,0.0,0.0001,0.0002,0.058,-0.0084,2.6047,1.5,1.5
12.85,0.0028,-0.0,0.0,0.0001,0.0002,0.0737,-0.0009,2.6047,1.5,1.5
12.867,0.0028,-0.0,0.0,0.0001,-0.0003,0.0753,0.0065,2.6047,1.5,1.5
12.867,0.0028,-0.0,0.0,0.0001,-0.0003,0.0831,0.0042,2.6047,1.5,1.5
12.867,0.0028,-0.0,0.0,0.0001,-0.0003,0.0853,-0.0003,2.6047,1.5,1.5
12.9,0.0042,-0.0,0.0,0.0673,-0.0051,0.089,0.001,2.6047,1.5,1.5
12.9,0.0042,-0.0,0.0,0.0673,-0.0051,0.0845,-0.0048,2.6047,1.5,1.5
12.917,0.0054,-0.0,0.0,0.0738,0.0019,0.1114,-0.008,2.6047,1.5,1.5
12.917,0.0054,-0.0,0.0,0.0738,0.0019,0.1252,-0.0087,2.6353,1.5,1.5
12.917,0.0054,-0.0,0.0,0.0738,0.0019,0.1363,-0.0049,2.6353,1.5,1.5
12.95,0.0082,-0.0,0.0,0.0878,0.0009,0.1371,0.0011,2.6353,1.5,1.5
12.967,0.0098,0.0,0.0,0.1065,0.0001,0.1409,0.0027,2.6353,1.5,1.5
12.967,0.0098,0.0,0.0,0.1065,0.0001,0.1455,0.0025,2.6353,1.5,1.5
12.967,0.0098,0.0,0.0,0.1065,0.0001,0.1614,-0.0004,2.6353,1.5,1.5
13.0,0.0139,0.0,0.0,0.1332,-0.0003,0.1674,-0.0004,2.6353,1.5,1.5
13.0,0.0139,0.0,0.0,0.1332,-0.0003,0.1736,-0.0012,2.6353,1.5,1.5
13.017,0.0162,0.0,0.0,0.1393,-0.0011,0.1818,-0.0019,2.6353,1.5,1.5
13.033,0.0185,0.0,0.0,0.1442,-0.0008,0.1893,-0.0014,2.6169,1.5,1.5
13.033,0.0185,0.0,0.0,0.1442,-0.0008,0.1942,0.0009,2.6169,1.5,1.5
13.033,0.0185,0.0,0.0,0.1442,-0.0008,0.1986,-0.0022,2.6169,1.5,1.5
13.067,0.0239,0.0,0.0,0.1713,-0.0003,0.2024,-0.0028,2.6169,1.5,1.5
13.067,0.0239,0.0,0.0,0.1713,-0.0003,0.2044,-0.0043,2.6169,1.5,1.5
13.083,0.0269,0.0,0.0,0.1796,-0.0003,0.2162,-0.0035,2.6169,1.5,1.5
13.083,0.0269,0.0,0.0,0.1796,-0.0003,0.2256,-0.0039,2.6169,1.5,1.5
13.083,0.0269,0.0,0.0,0.1796,-0.0003,0.2271,-0.0029,2.6169,1.5,1.5
13.117,0.0332,0.0,0.0,0.1971,0.0003,0.2314,-0.0033,2.6169,1.5,1.5
13.133,0.0366,0.0,0.0,0.2029,-0.0002,0.2382,-0.0038,2.6801,1.5,1.5
13.133,0.0366,0.0,0.0,0.2029,-0.0002,0.242,0.0018,2.6801,1.5,1.5
13.133,0.0366,0.0,0.0,0.2029,-0.0002,0.2477,0.003,2.6801,1.5,1.5
13.167,0.0437,0.0,0.0,0.2231,-0.0002,0.2509,-0.0005,2.6801,1.5,1.5
13.167,0.0437,0.0,0.0,0.2231,-0.0002,0.2535,0.0021,2.6801,1.5,1.5
13.183,0.0475,0.0,0.0,0.2297,-0.0003,0.2639,0.0023,2.6801,1.5,1.5
13.2,0.0514,0.0,0.0,0.2365,-0.0001,0.2675,-0.0012,2.6801,1.5,1.5
13.2,0.0514,0.0,0.0,0.2365,-0.0001,0.2747,-0.0016,2.6801,1.5,1.5
13.2,0.0514,0.0,0.0,0.2365,-0.0001,0.281,0.0002,2.6801,1.5,1.5
13.2,0.0514,0.0,0.0,0.2365,-0.0001,0.2868,0.0008,2.6175,1.5,1.5
13.233,0.0596,0.0,0.0,0.2498,0.0,0.2864,-0.0056,2.6175,1.5,1.5
13.233,0.0596,0.0,0.0,0.2498,0.0,0.2938,-0.0006,2.6175,1.5,1.5
13.25,0.0638,0.0,0.0,0.2528,-0.0015,0.2976,-0.0015,2.6175,1.5,1.5
13.25,0.0638,0.0,0.0,0.2528,-0.0015,0.3025,-0.0022,2.6175,1.5,1.5
13.25,0.0638,0.0,0.0,0.2528,-0.0015,0.3039,0.0001,2.6175,1.5,1.5
13.283,0.0726,0.0,0.0,0.2727,-0.0005,0.3033,-0.0016,2.6175,1.5,1.5
13.283,0.0726,0.0,0.0,0.2727,-0.0005,0.3042,-0.0008,2.6175,1.5,1.5
